player_id,name,position,current_team,jersey_number
6462,Ellis Richardson,TE,,45.0
11255,Nick Amoah,OL,,0.0
8842,Malkelm Morrison,CB,,0.0
7926,Carl Tucker,TE,,0.0
1875,C.J. Mosley,LB,,57.0
8478,Samuel Womack,CB,NYJ,39.0
995,Ron Parker,FS,,0.0
1408,Le'Veon Bell,RB,TB,6.0
8074,Matt Seybert,TE,,41.0
156,William Gay,CB,,25.0
7311,Javin White,LB,,60.0
2091,Bashaud Breeland,CB,ARI,24.0
13175,Kinkead Dent,QB,,
11533,Brandon Aubrey,K,DAL,17.0
2508,Amarlo Herrera,LB,,56.0
2199,Kasim Edebali,DE,,95.0
2881,Tyler Slavin,WR,,13.0
2064,DeMarcus Lawrence,DE,SEA,0.0
1284,Lance Dunbar,RB,,25.0
2801,DeAndrew White,WR,,18.0
4501,Devaroe Lawrence,DT,,0.0
5852,DeAndre Baker,CB,,30.0
1073,Taylor Thompson,TE,,84.0
3374,Kevon Seymour,CB,WAS,25.0
8012,Corey Straughter,CB,,0.0
7918,A.J. Rose,RB,,24.0
777,Erik Pears,T,,71.0
13229,Decarius Hawthorne,DL,,
5428,Ricky Jeune,WR,,2.0
1982,Aaron Colvin,CB,,34.0
12376,Marquis Wilson,DB,,
7882,Christian Uphoff,DB,,0.0
8733,Jake Hummel,LB,BAL,35.0
13221,Brett Gabbert,QB,,
11522,Jerome Kapp,WR,,31.0
2474,Nick Boyle,TE,,86.0
8852,Ty Clary,OL,,0.0
8809,Aaron Shampklin,RB,,48.0
9487,Parker Washington,WR,JAX,11.0
6923,Geno Stone,DB,CIN,22.0
1907,Johnny Manziel,QB,,2.0
7325,Joe Gaziano,DE,,90.0
8716,Jarrid Williams,OL,,76.0
6648,Brock Ruble,OT,,72.0
3342,Jakeem Grant,WR,,84.0
1684,Jaron Brown,WR,,18.0
3268,Eric Murray,DB,JAX,29.0
4449,Nicholas Morrow,LB,,43.0
11072,Joshua Pryor,DL,,47.0
6918,Salvon Ahmed,RB,IND,36.0
6137,Tommy Sweeney,TE,,87.0
12784,Jason Ivey,OL,,
12602,Mykel Williams,DL,SF,98.0
11340,Brad Cecil,OL,,
5668,Aaron Stinnie,G,NYG,64.0
13132,JJ Roberts,DB,TB,36.0
3561,Bryce Williams,TE,,80.0
832,Ryan Whalen,WR,,81.0
12586,Cameron Williams,OL,PHI,73.0
6751,Duplicate Player,,,0.0
3356,Kyle Murphy,OT,NO,79.0
6786,CeeDee Lamb,WR,DAL,88.0
5038,Michael Gallup,WR,,12.0
10938,DJ Johnson,LB,WAS,53.0
4433,Xavier Coleman,CB,,0.0
