stat_id,week_id,player_id,game_id,season,week,team,opponent,played_at,receiving_targets,receiving_catches,receiving_yards,snaps
2025_1_11628,2025_1,11628,202510122,2025,1,ARI,NO,1757221200000,6,5,71,59
2025_10_11628,2025_10,11628,202511030,2025,10,ARI,SEA,1762668000000,12,3,33,69
2025_13_11628,2025_13,11628,202511333,2025,13,ARI,TB,1764482400000,7,6,69,37
2025_16_11628,2025_16,11628,202511601,2025,16,ARI,ATL,1766296800000,3,1,14,29
2025_17_11628,2025_17,11628,202511707,2025,17,ARI,CIN,1766901600000,1,0,0,19
2025_18_11628,2025_18,11628,202511832,2025,18,ARI,LAR,1767506400000,0,0,0,0
2025_2_11628,2025_2,11628,202510201,2025,2,ARI,CAR,1757826000000,5,2,27,51
2025_3_11628,2025_3,11628,202510331,2025,3,ARI,SF,1758430800000,6,3,44,53
2025_4_11628,2025_4,11628,202510401,2025,4,ARI,SEA,1758776400000,10,6,66,67
2025_5_11628,2025_5,11628,202510501,2025,5,ARI,TEN,1759640400000,5,4,98,52
2025_6_11628,2025_6,11628,202510614,2025,6,ARI,IND,1760245200000,2,2,32,17
2025_7_11628,2025_7,11628,202510701,2025,7,ARI,GB,1760850000000,6,2,58,65
2025_9_11628,2025_9,11628,202510909,2025,9,ARI,DAL,1762149600000,10,7,96,48
2025_1_10232,2025_1,10232,202510122,2025,1,ARI,NO,1757221200000,4,1,5,44
2025_10_10232,2025_10,10232,202511030,2025,10,ARI,SEA,1762668000000,7,4,34,70
2025_11_10232,2025_11,10232,202511101,2025,11,ARI,SF,1763272800000,18,15,185,65
2025_12_10232,2025_12,10232,202511201,2025,12,ARI,JAX,1763877600000,15,10,118,69
2025_13_10232,2025_13,10232,202511333,2025,13,ARI,TB,1764482400000,7,3,36,57
2025_14_10232,2025_14,10232,202511401,2025,14,ARI,LAR,1765087200000,16,11,142,49
2025_15_10232,2025_15,10232,202511513,2025,15,ARI,HOU,1765692000000,11,5,54,56
2025_16_10232,2025_16,10232,202511601,2025,16,ARI,ATL,1766296800000,3,2,52,49
2025_17_10232,2025_17,10232,202511707,2025,17,ARI,CIN,1766901600000,10,5,89,49
2025_18_10232,2025_18,10232,202511832,2025,18,ARI,LAR,1767506400000,8,5,99,0
2025_2_10232,2025_2,10232,202510201,2025,2,ARI,CAR,1757826000000,2,1,11,38
2025_3_10232,2025_3,10232,202510331,2025,3,ARI,SF,1758430800000,2,1,5,49
2025_4_10232,2025_4,10232,202510401,2025,4,ARI,SEA,1758776400000,6,3,15,65
2025_5_10232,2025_5,10232,202510501,2025,5,ARI,TEN,1759640400000,4,2,16,47
